# 2019, R7 fixture

team.home                 team.away                 ground
collingwood               port.adelaide             Docklands
melbourne                 hawthorn                  M.C.G.
greater.western.sydney    st.kilda                  "Manuka Oval"
brisbane.lions            sydney                    Gabba
western.bulldogs          richmond                  Docklands
west.coast.eagles         gold.coast                "Perth Stadium"
carlton                   north.melbourne           Docklands
geelong                   essendon                  M.C.G.
adelaide                  fremantle                 "Adelaide Oval"

